cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
aches,0,0,1.8828724948912912e-6,93
achievement,0,0,3.1178748840135358e-6,154
achievements,0,0,2.227053488581097e-6,110
Achilles,0,0,1.0527889218747005e-6,52
aching,0,0,7.652965624396861e-6,378
acid,0,0,1.7209049684490295e-6,85
acknowledge,0,0,2.992350051020783e-5,1478
acknowledgement,0,0,1.2552483299275275e-6,62
acknowledgements,0,0,6.276241649637637e-7,31
acknowledgment,0,0,8.138868203723645e-6,402
acknowledgments,0,0,2.854677653544861e-6,141
acorn,0,0,3.036891120792405e-7,15
acquaintance,0,0,8.821156408861673e-5,4357
ACQUAINTANCE,0,0,2.429512896633924e-7,12
acquaintances,0,0,1.2532237358469991e-5,619
acquaintanceship,0,0,6.07378224158481e-7,30
acquiantance,0,0,1.214756448316962e-7,6
acquiescence,0,0,6.984849577822532e-6,345
acquiescing,0,0,4.859025793267848e-7,24
acquirement,0,0,1.0325429810694178e-6,51
acquirements,0,0,3.5632855817297552e-6,176
acquisition,0,0,4.737550148436152e-6,234
acquisitions,0,0,1.214756448316962e-6,60
acquittal,0,0,1.761396850059595e-6,87
acquittance,0,0,1.822134672475443e-7,9
acre,0,0,2.287791310996945e-6,113
acres,0,0,5.749847188700287e-6,284
acrimony,0,0,1.49819961959092e-6,74
across,0,0,1.1416686020098915e-4,5639
act,0,0,1.0797160231457265e-4,5333
Act,0,0,3.4823018185086244e-6,172
acting,0,0,2.5509885414656204e-5,1260
action,0,0,6.94030850805091e-5,3428
actions,0,0,2.407242361748113e-5,1189
activities,0,0,4.6565663852150213e-7,23
activity,0,0,1.3463550635512995e-5,665
actor,0,0,5.182960846152372e-6,256
actors,0,0,5.587879662258025e-6,276
actress,0,0,5.4259121358157635e-6,268
actresses,0,0,1.4374617971750718e-6,71
acts,0,0,1.5265439367183156e-5,754
Acts,0,0,5.871322833531983e-7,29
acumen,0,0,5.263944609373502e-7,26
acute,0,0,1.1742645667063967e-5,580
acuteness,0,0,4.089680042667106e-6,202
ad,0,0,4.413615095551628e-6,218
adage,0,0,7.086079281848945e-7,35
adagio,0,0,1.214756448316962e-7,6
Adam,0,0,3.073333814241914e-5,1518
adamant,0,0,6.883619873796118e-7,34
Adams,0,0,1.1337726850958312e-6,56
adaptation,0,0,7.895916914060253e-7,39
adder,0,0,1.093280803485266e-6,54
adders,0,0,4.454106977162194e-7,22
addiction,0,0,3.441809936898059e-7,17
addition,0,0,1.666240928274766e-5,823
additions,0,0,1.822134672475443e-6,90
address,0,0,5.887519586176209e-5,2908
addresses,0,0,8.786738309492692e-6,434
Adelaide,0,0,6.964603637017249e-6,344
Adèle,0,0,2.7534479495184472e-6,136
adept,0,0,3.259596469650515e-6,161
adepts,0,0,4.251647569109367e-7,21
adherence,0,0,2.368775074218076e-6,117
adherent,0,0,1.012297040264135e-6,50
adherents,0,0,3.1988586472346667e-6,158
adhesion,0,0,9.110673362377215e-7,45
adieu,0,0,1.0730348626799832e-5,530
adieus,0,0,1.1540186259011139e-6,57
adieux,0,0,1.0325429810694178e-6,51
adjective,0,0,9.313132770430043e-7,46
adjectives,0,0,3.846728753003713e-7,19
adjoining,0,0,1.2188056364780186e-5,602
adjournment,0,0,5.871322833531983e-7,29
adjudication,0,0,1.417215856369789e-7,7
adjunct,0,0,3.036891120792405e-7,15
adjuncts,0,0,7.693457506007426e-7,38
adjuration,0,0,1.3362320931486582e-6,66
adjustment,0,0,1.5791833828120506e-6,78
adjutant,0,0,6.478701057690465e-7,32
administer,0,0,3.927712516224844e-6,194
administration,0,0,3.866974693808996e-6,191
administrator,0,0,2.227053488581097e-7,11
administrators,0,0,1.417215856369789e-7,7
admiral,0,0,8.057884440502514e-6,398
Admiral,0,0,8.09837632211308e-6,400
admirals,0,0,3.441809936898059e-7,17
Admiralty,0,0,2.3080372518022278e-6,114
admiration,0,0,5.899667150659379e-5,2914
admire,0,0,2.6036279875593552e-5,1286
admirer,0,0,7.733949387617992e-6,382
admirers,0,0,6.660914524938008e-6,329
admiring,0,0,1.2248794187196034e-5,605
admission,0,0,1.0629118922773418e-5,525
admissions,0,0,7.086079281848945e-7,35
admit,0,0,3.617949621904018e-5,1787
admittance,0,0,5.7903390703108525e-6,286
admixture,0,0,4.04918816105654e-7,20
admonishment,0,0,1.6196752644226162e-7,8
admonition,0,0,3.9074665754195615e-6,193
admonitions,0,0,2.3282831926075105e-6,115
admonitory,0,0,8.908213954324388e-7,44
ado,0,0,3.3405802328716457e-6,165
adopting,0,0,2.8951695351554263e-6,143
adoption,0,0,2.0043481397229874e-6,99
adoration,0,0,4.838779852462565e-6,239
adoring,0,0,1.7006590276437467e-6,84
adornment,0,0,1.3564780339539409e-6,67
adornments,0,0,6.478701057690465e-7,32
adorns,0,0,6.07378224158481e-7,30
adrift,0,0,2.2675453701916623e-6,112
adroit,0,0,1.9841021989177046e-6,98
adroitness,0,0,7.693457506007426e-7,38
adulation,0,0,2.044840021333553e-6,101
adult,0,0,5.668863425479156e-7,28
adulteration,0,0,2.834431712739578e-7,14
adulterer,0,0,2.227053488581097e-7,11
adultery,0,0,5.668863425479156e-7,28
advance,0,0,2.9700795161349722e-5,1467
Advance,0,0,4.859025793267848e-7,24
advancement,0,0,3.988450338640692e-6,197
advances,0,0,7.87567097325497e-6,389
advancing,0,0,2.3201848162853973e-5,1146
Advancing,0,0,7.086079281848945e-7,35
advantage,0,0,6.630545613730085e-5,3275
advantages,0,0,2.1480943194404945e-5,1061
advent,0,0,2.0043481397229874e-6,99
adventure,0,0,1.8606019600054802e-5,919
adventurer,0,0,4.818533911657283e-6,238
adventurers,0,0,1.6601671460331815e-6,82
adventures,0,0,1.5791833828120508e-5,780
Adventures,0,0,3.846728753003713e-7,19
adversaries,0,0,1.7816427908648776e-6,88
adversary,0,0,8.300835730165907e-6,410
adverse,0,0,4.737550148436152e-6,234
adversity,0,0,6.438209176079899e-6,318
advertise,0,0,1.5589374420067679e-6,77
advertisement,0,0,6.175011945611224e-6,305
advertisements,0,0,2.4092669558286414e-6,119
advertiser,0,0,2.02459408052827e-7,10
advertising,0,0,1.4577077379803545e-6,72
advice,0,0,6.468578087287822e-5,3195
advices,0,0,6.276241649637637e-7,31
adviser,0,0,5.770093129505569e-6,285
advisers,0,0,1.4779536787856372e-6,73
advising,0,0,2.8141857719342954e-6,139
advocacy,0,0,7.693457506007426e-7,38
advocate,0,0,8.179360085334211e-6,404
advocates,0,0,1.619675264422616e-6,80
ady,0,0,2.02459408052827e-7,10
ae,0,0,3.1178748840135358e-6,154
æra,0,0,4.454106977162194e-7,22
afar,0,0,5.567633721452743e-6,275
affability,0,0,2.692710127102599e-6,133
affair,0,0,6.128446281759073e-5,3027
affaires,0,0,2.631972304686751e-7,13
affairs,0,0,7.260194372774377e-5,3586
Affairs,0,0,5.871322833531983e-7,29
affec,0,0,1.417215856369789e-7,7
affect,0,0,1.4860520551077502e-5,734
affectation,0,0,9.414362474456456e-6,465
affectations,0,0,6.276241649637637e-7,31
affecting,0,0,1.4273388267724304e-5,705
affection,0,0,1.053193840690806e-4,5202
Affection,0,0,6.276241649637637e-7,31
affectionate,0,0,4.277967292156234e-5,2113
affections,0,0,3.480277224428096e-5,1719
affects,0,0,3.421563996092776e-6,169
Affery,0,0,3.502547759313907e-6,173
affidavit,0,0,8.705754546271561e-7,43
affidavits,0,0,2.02459408052827e-7,10
affinities,0,0,3.036891120792405e-7,15
affinity,0,0,2.166315666165249e-6,107
affirm,0,0,3.2798424104557976e-6,162
affirmation,0,0,4.454106977162194e-7,22
affirmative,0,0,6.6811604657432915e-6,330
affirms,0,0,5.263944609373502e-7,26
affliction,0,0,1.3402812813097148e-5,662
afflictions,0,0,2.1258237845546837e-6,105
affluence,0,0,3.3405802328716457e-6,165
afford,0,0,3.952007645191183e-5,1952
affording,0,0,4.150417865082953e-6,205
affords,0,0,3.785990930587865e-6,187
affray,0,0,9.110673362377215e-7,45
affright,0,0,3.016645179987122e-6,149
affro,0,0,9.110673362377215e-7,45
affront,0,0,4.7173042076308695e-6,233
affronts,0,0,6.681160465743291e-7,33
afield,0,0,1.012297040264135e-6,50
aflame,0,0,5.061485201320675e-7,25
afloat,0,0,3.947958457030127e-6,195
afoot,0,0,1.5184455603962024e-6,75
afore,0,0,1.9395611291460826e-5,958
aforesaid,0,0,4.899517674878414e-6,242
afraid,0,0,1.3257042039299113e-4,6548
afresh,0,0,7.187308985875359e-6,355
afrit,0,0,1.822134672475443e-7,9
aft,0,0,4.514844799578042e-6,223
after,0,0,8.517669756190484e-4,42071
After,0,0,1.3908961333229216e-4,6870
afternoon,0,0,7.36142407680079e-5,3636
Afternoon,0,0,2.227053488581097e-7,11
afternoons,0,0,2.206807547775814e-6,109
afterthought,0,0,3.441809936898059e-7,17
afterward,0,0,3.968204397835409e-6,196
afterwards,0,0,1.077893888473251e-4,5324
Afterwards,0,0,2.8141857719342954e-6,139
agate,0,0,4.454106977162194e-7,22
age,0,0,1.259499977496637e-4,6221
Age,0,0,2.3890210150233586e-6,118
agen,0,0,1.0325429810694178e-6,51
agencies,0,0,8.300835730165908e-7,41
agency,0,0,4.798287970852e-6,237
agent,0,0,2.1622664780041925e-5,1068
agents,0,0,6.964603637017249e-6,344
ages,0,0,1.7209049684490294e-5,850
Ages,0,0,1.1135267442905484e-6,55
aggrandisement,0,0,4.251647569109367e-7,21
aggrandizement,0,0,7.086079281848945e-7,35
aggravation,0,0,2.287791310996945e-6,113
aggravations,0,0,4.04918816105654e-7,20
aggregate,0,0,9.718051586535696e-7,48
aggression,0,0,6.07378224158481e-7,30
aggressions,0,0,1.822134672475443e-7,9
aggressor,0,0,7.895916914060253e-7,39
aghast,0,0,5.385420254205198e-6,266
agility,0,0,2.915415475960709e-6,144
agin,0,0,2.449758837439207e-6,121
