cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
Ointment,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
pasturing,2.108725907806503e-5,104.15549112226392,2.02459408052827e-7,10
physiologists,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
semitone,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
stokers,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
sweetbriar,2.108725907806503e-5,104.15549112226392,2.02459408052827e-7,10
thinkings,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
WORD,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
wych,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
YOUTH,1.0543629539032516e-5,104.15549112226392,1.012297040264135e-7,5
honeysuckles,3.6902703386613806e-5,101.26228303553437,3.644269344950886e-7,18
gooseberries,6.32617772341951e-5,100.79563656993282,6.276241649637637e-7,31
Latinity,2.6359073847581292e-5,100.14951069448455,2.631972304686751e-7,13
parterre,7.907722154274387e-5,100.14951069448455,7.895916914060253e-7,39
restaurateur,2.6359073847581292e-5,100.14951069448455,2.631972304686751e-7,13
pear,2.161444055501666e-4,97.94438385350509,2.206807547775814e-6,109
Schloss,4.744633292564633e-5,97.64577292712244,4.859025793267848e-7,24
tendrils,4.744633292564633e-5,97.64577292712244,4.859025793267848e-7,24
desideratum,1.5815444308548774e-5,97.64577292712242,1.6196752644226162e-7,8
mosaics,1.5815444308548774e-5,97.64577292712242,1.6196752644226162e-7,8
noons,1.5815444308548774e-5,97.64577292712242,1.6196752644226162e-7,8
pendants,1.5815444308548774e-5,97.64577292712242,1.6196752644226162e-7,8
salut,1.5815444308548774e-5,97.64577292712242,1.6196752644226162e-7,8
trellice,1.5815444308548774e-5,97.64577292712242,1.6196752644226162e-7,8
brewery,1.1070811015984142e-4,95.93268919155888,1.1540186259011139e-6,57
vicinage,6.32617772341951e-5,94.68681011114903,6.681160465743291e-7,33
guelder,2.108725907806503e-5,94.68681011114901,2.227053488581097e-7,11
irids,2.108725907806503e-5,94.68681011114901,2.227053488581097e-7,11
nursemaids,2.108725907806503e-5,94.68681011114901,2.227053488581097e-7,11
snowdrift,2.108725907806503e-5,94.68681011114901,2.227053488581097e-7,11
yews,4.217451815613006e-5,94.68681011114901,4.454106977162194e-7,22
arbour,1.792417021635528e-4,94.18315686587697,1.9031184356965737e-6,94
ait,2.6359073847581292e-5,92.99597421630709,2.834431712739578e-7,14
clematis,5.2718147695162584e-5,92.99597421630709,5.668863425479156e-7,28
conservatories,5.2718147695162584e-5,92.99597421630709,5.668863425479156e-7,28
crescents,2.6359073847581292e-5,92.99597421630709,2.834431712739578e-7,14
trainer,1.0543629539032517e-4,92.99597421630709,1.1337726850958312e-6,56
arbours,3.163088861709755e-5,91.90190393140935,3.441809936898059e-7,17
scraper,6.32617772341951e-5,91.90190393140935,6.883619873796118e-7,34
shrubbery,5.377251064906584e-4,91.5850008144045,5.8713228335319834e-6,290
demoiselles,3.6902703386613806e-5,91.13605473198093,4.04918816105654e-7,20
limes,1.1070811015984142e-4,91.13605473198093,1.214756448316962e-6,60
strawberries,1.5288262831597148e-4,89.89610840909684,1.7006590276437467e-6,84
stucco,6.32617772341951e-5,89.27613524765479,7.086079281848945e-7,35
anoof,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
Attempts,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
bracket,5.2718147695162584e-5,86.7962426018866,6.07378224158481e-7,30
breakwater,1.5815444308548774e-5,86.7962426018866,1.822134672475443e-7,9
brethern,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
briers,1.5815444308548774e-5,86.7962426018866,1.822134672475443e-7,9
caterpillars,2.108725907806503e-5,86.7962426018866,2.429512896633924e-7,12
chandlers,1.5815444308548774e-5,86.7962426018866,1.822134672475443e-7,9
chile,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
cultivator,1.5815444308548774e-5,86.7962426018866,1.822134672475443e-7,9
eventide,2.6359073847581292e-5,86.7962426018866,3.036891120792405e-7,15
façades,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
florist,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
furriners,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
goûter,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
haystacks,1.5815444308548774e-5,86.7962426018866,1.822134672475443e-7,9
hyacinths,4.744633292564633e-5,86.7962426018866,5.46640401742633e-7,27
linden,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
massiveness,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
Mole,2.108725907806503e-5,86.7962426018866,2.429512896633924e-7,12
Mosque,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
pullets,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
sallad,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
sandhills,1.5815444308548774e-5,86.7962426018866,1.822134672475443e-7,9
Traces,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
upholstery,4.217451815613006e-5,86.7962426018866,4.859025793267848e-7,24
Winstons,1.0543629539032516e-5,86.7962426018866,1.214756448316962e-7,6
cherries,1.370671840074227e-4,83.58156694996488,1.6399212052278988e-6,81
peas,2.161444055501666e-4,82.75920806226398,2.611726363881468e-6,129
nosegay,2.1087259078065034e-4,82.66308819227295,2.5509885414656204e-6,126
almshouses,2.6359073847581292e-5,81.37147743926869,3.2393505288452323e-7,16
athlete,2.6359073847581292e-5,81.37147743926869,3.2393505288452323e-7,16
